course_type_id,current_name,clean_text_current_name,detected_agency,proposed_official_clean_name,source_reason,confidence,status,edit_url,skip_reason
209809,AHA Heartsaver® First Aid CPR AED - In-PersonTraditional classroom training for workplace and general certification,AHA Heartsaver® First Aid CPR AED - In-PersonTraditional classroom training for workplace and general certification,AHA,AHA Heartsaver First Aid CPR AED,"AHA Heartsaver page: https://cpr.heart.org/en/cpr-courses-and-kits/heartsaver lists Heartsaver CPR AED, Heartsaver First Aid CPR AED, Heartsaver Pediatric First Aid CPR AED.",high,candidate,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=209809,
374378,HSI Adult First Aid CPR AED - In-PersonInstructor-led classroom training for workplace certification,HSI Adult First Aid CPR AED - In-PersonInstructor-led classroom training for workplace certification,HSI,HSI Adult First Aid | CPR AED,"HSI program pages list First Aid | CPR AED, Pediatric First Aid | CPR AED, and Basic Life Support (BLS): https://hsi.com/solutions/cpr-aed-first-aid-training/programs",high,candidate,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=374378,
371954,HSI Adult First Aid CPR AED - BlendedOnline course + in-person skills session for workplace certification,HSI Adult First Aid CPR AED - BlendedOnline course + in-person skills session for workplace certification,HSI,HSI Adult First Aid | CPR AED,"HSI program pages list First Aid | CPR AED, Pediatric First Aid | CPR AED, and Basic Life Support (BLS): https://hsi.com/solutions/cpr-aed-first-aid-training/programs",high,candidate,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=371954,
351632,AHA - Heartsaver® Pediatric First Aid / CPR / AED In-person✔ Fulfills the CPR/First Aid component of NC DCDEE (10A NCAC 09 .1102); additional NC trainings required for full compliance✔ Fulfills the CPR/First Aid requirement in CT OEC (Sec. 19a-79-4a); center policies/modules may apply,AHA - Heartsaver® Pediatric First Aid / CPR / AED In-person✔ Fulfills the CPR/First Aid component of NC DCDEE (10A NCAC 09 .1102); additional NC trainings required for full compliance✔ Fulfills the CPR/First Aid requirement in CT OEC (Sec. 19a-79-4a); center policies/modules may apply,AHA,AHA Heartsaver Pediatric First Aid CPR AED,"AHA Heartsaver page: https://cpr.heart.org/en/cpr-courses-and-kits/heartsaver lists Heartsaver CPR AED, Heartsaver First Aid CPR AED, Heartsaver Pediatric First Aid CPR AED.",high,candidate,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=351632,
252731,AHA Heartsaver® Primeros Auxilios RCP DEA - En Español (Presencial)Clase completamente en español con instructor y materiales en español,AHA Heartsaver® Primeros Auxilios RCP DEA - En Español (Presencial)Clase completamente en español con instructor y materiales en español,AHA,,no authoritative official-name mapping,low,skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=252731,no authoritative official-name mapping
355327,"AHA Heartsaver First Aid CPR AEDIn-person training for workplace, OSHA, and general public certification","AHA Heartsaver First Aid CPR AEDIn-person training for workplace, OSHA, and general public certification",,,$0 placeholder/legacy/internal risk,low,skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=355327,$0 placeholder/legacy/internal risk
372258,ARC Adult CPR AED - BlendedOnline course + in-person skills session for workplace and general certification,ARC Adult CPR AED - BlendedOnline course + in-person skills session for workplace and general certification,American Red Cross,American Red Cross Adult CPR/AED,Red Cross Adult CPR/AED naming inferred from Red Cross course family; no high-confidence apply unless exact family is obvious.,medium,skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=372258,official agency naming pattern matched
396266,AHA Heartsaver K-12 - In-person 🚌Instructor-led CPR AED and First Aid training for schools and students,AHA Heartsaver K-12 - In-person 🚌Instructor-led CPR AED and First Aid training for schools and students,,,specialty/rare/ambiguous course,low,skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=396266,specialty/rare/ambiguous course
422270,HSI Adult First Aid CPR AED - In-personTraditional classroom training for workplace and general certification,HSI Adult First Aid CPR AED - In-personTraditional classroom training for workplace and general certification,HSI,HSI Adult First Aid | CPR AED,"HSI program pages list First Aid | CPR AED, Pediatric First Aid | CPR AED, and Basic Life Support (BLS): https://hsi.com/solutions/cpr-aed-first-aid-training/programs",high,candidate,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=422270,
369209,"ARC Adult | Pediatric First Aid CPR AED - In-personFull certification for adults, children, and infants","ARC Adult | Pediatric First Aid CPR AED - In-personFull certification for adults, children, and infants",American Red Cross,American Red Cross Adult and Pediatric First Aid/CPR/AED,Red Cross course page: https://www.redcross.org/take-a-class/classes/adult-and-pediatric-first-aid/cpr/aed/LP-00005000.html identifies Adult and Pediatric First Aid/CPR/AED.,high,candidate,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=369209,
437443,HSI Primeros Auxilios Pediátricos | RCP y DEA - BlendedCurso en línea + sesión práctica en persona,HSI Primeros Auxilios Pediátricos | RCP y DEA - BlendedCurso en línea + sesión práctica en persona,HSI,,no authoritative official-name mapping,low,skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=437443,no authoritative official-name mapping
253768,USCG Elementary First Aid | CPR (AHA Heartsaver®)Meets U.S. Coast Guard Maritime Requirements (AMERHA-216),USCG Elementary First Aid | CPR (AHA Heartsaver®)Meets U.S. Coast Guard Maritime Requirements (AMERHA-216),,,specialty/rare/ambiguous course,low,skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=253768,specialty/rare/ambiguous course
359827,USCG Elementary First Aid | CPR - Blended (Online + Skills)AHA Heartsaver® | Meets Maritime Requirements (AMERHA-216),USCG Elementary First Aid | CPR - Blended (Online + Skills)AHA Heartsaver® | Meets Maritime Requirements (AMERHA-216),,,specialty/rare/ambiguous course,low,skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=359827,specialty/rare/ambiguous course
428964,"CPR / AED Only First Aid CPR AED trains anyone with little or no medical training to provide first aid, CPR, and use an AED in a safe, timely, and effective manner.","CPR / AED Only First Aid CPR AED trains anyone with little or no medical training to provide first aid, CPR, and use an AED in a safe, timely, and effective manner.",,,$0 placeholder/legacy/internal risk,low,skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=428964,$0 placeholder/legacy/internal risk
463081,Infant CPR & Choking Relief Class,Infant CPR & Choking Relief Class,,,specialty/rare/ambiguous course,low,skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=463081,specialty/rare/ambiguous course
460465,AHA - Heartsaver® CPR AED - In-person 🚒,AHA - Heartsaver® CPR AED - In-person 🚒,,,$0 placeholder/legacy/internal risk,low,skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=460465,$0 placeholder/legacy/internal risk
252737,AHA - Family & Friends® CPR,AHA - Family & Friends® CPR,,,specialty/rare/ambiguous course,low,skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=252737,specialty/rare/ambiguous course
209817,AHA - RCP para Familiares y Amigos,AHA - RCP para Familiares y Amigos,,,specialty/rare/ambiguous course,low,skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=209817,specialty/rare/ambiguous course
450672,HSI Adult CPR AEDTraditional Classroom,HSI Adult CPR AEDTraditional Classroom,HSI,,no authoritative official-name mapping,low,skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=450672,no authoritative official-name mapping
375428,"HSI Adult/Child/Infant CPR AED | Blended LearningBlended Learning with In-Person, Instructor-Led Skills Session","HSI Adult/Child/Infant CPR AED | Blended LearningBlended Learning with In-Person, Instructor-Led Skills Session",,,specialty/rare/ambiguous course,low,skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=375428,specialty/rare/ambiguous course
375426,HSI Adult/Child/Infant CPR AEDTraditional Classroom,HSI Adult/Child/Infant CPR AEDTraditional Classroom,,,specialty/rare/ambiguous course,low,skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=375426,specialty/rare/ambiguous course
344085,AHA - Heartsaver® CPR AED - In-person,AHA - Heartsaver® CPR AED - In-person,AHA,AHA Heartsaver CPR AED,"AHA Heartsaver page: https://cpr.heart.org/en/cpr-courses-and-kits/heartsaver lists Heartsaver CPR AED, Heartsaver First Aid CPR AED, Heartsaver Pediatric First Aid CPR AED.",high,candidate,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=344085,
209808,AHA - Heartsaver® CPR AED - Online c̄ In-person Skills,AHA - Heartsaver® CPR AED - Online c̄ In-person Skills,AHA,AHA Heartsaver CPR AED,"AHA Heartsaver page: https://cpr.heart.org/en/cpr-courses-and-kits/heartsaver lists Heartsaver CPR AED, Heartsaver First Aid CPR AED, Heartsaver Pediatric First Aid CPR AED.",high,candidate,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=209808,
385208,"CPR / AED / First Aid (On-site; Group Class) Need a reliable CPR class for your team? 910 CPR brings expert AHA, HSI, or ARC BLS training directly to your office. Flexible scheduling, simple pricing, and a proven track record of reliability. We show up—on time, every time. Contact us today!","CPR / AED / First Aid (On-site; Group Class) Need a reliable CPR class for your team? 910 CPR brings expert AHA, HSI, or ARC BLS training directly to your office. Flexible scheduling, simple pricing, and a proven track record of reliability. We show up—on time, every time. Contact us today!",,,private/internal/admin/group/specialty row,low,skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=385208,private/internal/admin/group/specialty row
428966,"Instructor Programs Become an instructor and teach CPR, First Aid, or BLS through AHA, HSI, or Red Cross.","Instructor Programs Become an instructor and teach CPR, First Aid, or BLS through AHA, HSI, or Red Cross.",,,instructor course,low,skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=428966,instructor course
448931,AHA Instructor AlignmentTransfer or add alignment with First Responder Advantage Training Center,AHA Instructor AlignmentTransfer or add alignment with First Responder Advantage Training Center,,,$0 placeholder/legacy/internal risk,low,skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=448931,$0 placeholder/legacy/internal risk
463119,2025 AHA Instructor Update,2025 AHA Instructor Update,,,instructor course,low,skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=463119,instructor course
265876,AHA - Heartsaver® - Become an American Heart Association Instructor,AHA - Heartsaver® - Become an American Heart Association Instructor,,,instructor course,low,skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=265876,instructor course
253588,AHA - BLS - Become an American Heart Association Instructor,AHA - BLS - Become an American Heart Association Instructor,,,instructor course,low,skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=253588,instructor course
410205,AHA - BLS Instructor Renewal,AHA - BLS Instructor Renewal,,,instructor course,low,skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=410205,instructor course
286954,AHA - ACLS - Become an American Heart Association Instructor,AHA - ACLS - Become an American Heart Association Instructor,,,instructor course,low,skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=286954,instructor course
410206,AHA - ACLS Instructor Renewal,AHA - ACLS Instructor Renewal,,,instructor course,low,skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=410206,instructor course
374072,AHA - PALS - Become an American Heart Association Instructor,AHA - PALS - Become an American Heart Association Instructor,,,instructor course,low,skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=374072,instructor course
410207,AHA - PALS Instructor Renewal,AHA - PALS Instructor Renewal,,,instructor course,low,skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=410207,instructor course
438234,"AHA - BLS, ACLS & PALS - Become an American Heart Association Instructor","AHA - BLS, ACLS & PALS - Become an American Heart Association Instructor",,,instructor course,low,skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=438234,instructor course
428965,Other Programs,Other Programs,,,$0 placeholder/legacy/internal risk,low,skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=428965,$0 placeholder/legacy/internal risk
403786,Cardiac and Pulmonary Dissection with 12-Lead ECG,Cardiac and Pulmonary Dissection with 12-Lead ECG,,,specialty/rare/ambiguous course,low,skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=403786,specialty/rare/ambiguous course
387919,OSHA - Fall Protection Awareness,OSHA - Fall Protection Awareness,,,no authoritative official-name mapping,low,skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=387919,no authoritative official-name mapping
387917,OSHA - Back Safety / Safe Lifting,OSHA - Back Safety / Safe Lifting,,,no authoritative official-name mapping,low,skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=387917,no authoritative official-name mapping
431233,OSHA 10 | 3010 or 30 | General Industry or Construction |English or Spanish,OSHA 10 | 3010 or 30 | General Industry or Construction |English or Spanish,,,$0 placeholder/legacy/internal risk,low,skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=431233,$0 placeholder/legacy/internal risk
344486,STOP THE BLEED®,STOP THE BLEED®,,,$0 placeholder/legacy/internal risk,low,skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=344486,$0 placeholder/legacy/internal risk
252838,AED Maintenance Program... an easy-to-understand and even simpler-to-implement plan to get an AED in your facility...,AED Maintenance Program... an easy-to-understand and even simpler-to-implement plan to get an AED in your facility...,,,private/internal/admin/group/specialty row,low,skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=252838,private/internal/admin/group/specialty row
280576,z Personal Event - Not Availible,z Personal Event - Not Availible,,,$0 placeholder/legacy/internal risk,low,skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=280576,$0 placeholder/legacy/internal risk
261161,C̯͍̖̠̦̍ͩ̋́͗A̘͈͎̅̚R̐D̗I̙̪̎O̻̺͍̣̬ͬ͋̓P͑͒̆̑̄A̯͇̔̓͂R̬̙͈̗̭̍̊̉Ť͔̭͍̓̓ͭN͍̰̬͖̈E͍͙ͩ̇̎̃R̗̳̹͎̺S̻ͅ ̣̬̃̊͊̽ͫ,C̯͍̖̠̦̍ͩ̋́͗A̘͈͎̅̚R̐D̗I̙̪̎O̻̺͍̣̬ͬ͋̓P͑͒̆̑̄A̯͇̔̓͂R̬̙͈̗̭̍̊̉Ť͔̭͍̓̓ͭN͍̰̬͖̈E͍͙ͩ̇̎̃R̗̳̹͎̺S̻ͅ ̣̬̃̊͊̽ͫ,,,$0 placeholder/legacy/internal risk,low,skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=261161,$0 placeholder/legacy/internal risk
432156,H̹̼̲̳͉̋̍ͨͭ̔E̞̩̜͑̾̓͆A͉̹͕͆ͣ̄ͤ̚R̞̠ͫͦT̤̠̯̦̜ͪ̽̾̈́̎ S̪̦̘̺ͮ͋̏̚A̜̘͍̤͗͌ͩ̄V͕͙̻̝̏̋̈͒ͦE̬̳̤̾ͯ̓R̪̞̳̲̝̓ͣ͗̔ I̠̳̠̠̘̎ͨ̂̚N̦̺͛ͬͩͨ̚S̺̖̑ͨT̞̬̤̯̄̽̇̿ͨI̗͕ͩ̂͌ͬT͉̤̖̋͑͂U̳͇͚̎̓̅T̠̩̓̎̎̚E̙̟̼̹ͯ̏̉,H̹̼̲̳͉̋̍ͨͭ̔E̞̩̜͑̾̓͆A͉̹͕͆ͣ̄ͤ̚R̞̠ͫͦT̤̠̯̦̜ͪ̽̾̈́̎ S̪̦̘̺ͮ͋̏̚A̜̘͍̤͗͌ͩ̄V͕͙̻̝̏̋̈͒ͦE̬̳̤̾ͯ̓R̪̞̳̲̝̓ͣ͗̔ I̠̳̠̠̘̎ͨ̂̚N̦̺͛ͬͩͨ̚S̺̖̑ͨT̞̬̤̯̄̽̇̿ͨI̗͕ͩ̂͌ͬT͉̤̖̋͑͂U̳͇͚̎̓̅T̠̩̓̎̎̚E̙̟̼̹ͯ̏̉,,,$0 placeholder/legacy/internal risk,low,skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=432156,$0 placeholder/legacy/internal risk
410694,ARC - Adult and Pediatric First Aid/CPR/AED Skills Session-r.25,ARC - Adult and Pediatric First Aid/CPR/AED Skills Session-r.25,American Red Cross,American Red Cross Adult and Pediatric First Aid/CPR/AED,Red Cross course page: https://www.redcross.org/take-a-class/classes/adult-and-pediatric-first-aid/cpr/aed/LP-00005000.html identifies Adult and Pediatric First Aid/CPR/AED.,high,candidate,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=410694,
209814,AHA - BLS Provider - RenewalInstructor-led Classroom program for BLS Renewal,AHA - BLS Provider - RenewalInstructor-led Classroom program for BLS Renewal,,,$0 placeholder/legacy/internal risk,low,skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=209814,$0 placeholder/legacy/internal risk
473114,HSI Adult First Aid | Blended LearningOnline Coursework with In-Person Skills Testing,HSI Adult First Aid | Blended LearningOnline Coursework with In-Person Skills Testing,HSI,,no authoritative official-name mapping,low,skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=473114,no authoritative official-name mapping
485317,AHA Heartsaver® Pediatric First Aid CPR AED -Instructor-led training for childcare and caregivers,AHA Heartsaver® Pediatric First Aid CPR AED -Instructor-led training for childcare and caregivers,AHA,AHA Heartsaver Pediatric First Aid CPR AED,"AHA Heartsaver page: https://cpr.heart.org/en/cpr-courses-and-kits/heartsaver lists Heartsaver CPR AED, Heartsaver First Aid CPR AED, Heartsaver Pediatric First Aid CPR AED.",high,candidate,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=485317,
481321,ARC - Adult and Pediatric CPR/AED Skills Session,ARC - Adult and Pediatric CPR/AED Skills Session,American Red Cross,American Red Cross Adult CPR/AED,Red Cross Adult CPR/AED naming inferred from Red Cross course family; no high-confidence apply unless exact family is obvious.,medium,skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=481321,official agency naming pattern matched
